"CNPJ/CPF do Sancionado";"Nome";"UF do sancionado";"Tipo da Sanção";"Data Inicial da Sanção";"Data Final da Sanção";"Nome do Órgão Sancionador";"Valor da Multa";
"***.399.765-**";"roberto borges amaral";"SP";"Publicação Extraordinária - Lei 12.846/13";"08/02/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"***.399.765-**";"roberto borges amaral";"SP";"Multa - Lei 12.846/13";"08/02/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"150.000,00";
"***.802.138-**";"rodrigo zanardo";"SP";"Multa - Lei 12.846/13";"19/08/2016";"Sem informação";"Secretaria Municipal de Justiça - Prefeitura de São Paulo (SP)";"74.414,45";
"***.399.435-**";"rogerio adriano candido";"SP";"Multa - Lei 12.846/13";"08/02/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"150.000,00";
"***.399.435-**";"rogerio adriano candido";"SP";"Publicação Extraordinária - Lei 12.846/13";"08/02/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"***.358.408-**";"rogerio zanardo";"SP";"Multa - Lei 12.846/13";"19/08/2016";"Sem informação";"Secretaria Municipal de Justiça - Prefeitura de São Paulo (SP)";"768.346,25";
"***.352.868-**";"ronaldo viana martins carvalho";"SP";"Multa - Lei 12.846/13";"29/01/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"30.000,00";
"***.352.868-**";"ronaldo viana martins carvalho";"SP";"Publicação Extraordinária - Lei 12.846/13";"28/01/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"***.352.868-**";"ronaldo viana martins carvalho";"SP";"Multa - Lei 12.846/13";"28/01/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"30.000,00";
"***.352.868-**";"ronaldo viana martins carvalho";"SP";"Publicação Extraordinária - Lei 12.846/13";"26/12/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"***.352.868-**";"ronaldo viana martins carvalho";"SP";"Multa - Lei 12.846/13";"26/12/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"30.000,00";
"***.352.868-**";"ronaldo viana martins carvalho";"SP";"Publicação Extraordinária - Lei 12.846/13";"29/01/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"97.544.368/0001-52";"rrg construtora e servicos ltda-me";"ES";"Multa - Lei 12.846/13";"05/06/2019";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"40.295,16";
"09.454.122/0001-22";"rucks wireles inc";"Sem Informação";"Publicação Extraordinária - Lei 12.846/13";"13/11/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"0,00";
"11.916.511/0001-74";"s ferreira negocios e servicos me";"ES";"Multa - Lei 12.846/13";"31/10/2016";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"18.768,02";
"20.520.956/0001-21";"s.e. costa informatica-me";"ES";"Multa - Lei 12.846/13";"07/03/2019";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"10.452,50";
"07.406.337/0001-42";"salutaris - pesquisa, consultoria e gestao em saude ltda-me";"ES";"Multa - Lei 12.846/13";"19/02/2019";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"20.000,00";
"04.645.384/0001-50";"serra norte comercio e representacoes eirelli epp";"PR";"Multa - Lei 12.846/13";"24/04/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"853,20";
"***.584.228-**";"severino jose mafaldo";"SP";"Multa - Lei 12.846/13";"29/01/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"30.000,00";
"***.584.228-**";"severino jose mafaldo";"SP";"Publicação Extraordinária - Lei 12.846/13";"29/01/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"***.584.228-**";"severino jose mafaldo";"SP";"Multa - Lei 12.846/13";"26/12/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"30.000,00";
"***.584.228-**";"severino jose mafaldo";"SP";"Publicação Extraordinária - Lei 12.846/13";"26/12/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"***.584.228-**";"severino jose mafaldo";"SP";"Publicação Extraordinária - Lei 12.846/13";"28/01/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"***.584.228-**";"severino jose mafaldo";"SP";"Multa - Lei 12.846/13";"28/01/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"30.000,00";
"07.344.844/0001-07";"silva e saldanha ltda";"PA";"Multa - Lei 12.846/13";"16/01/2018";"Sem informação";"Tribunal de Justiça do Estado do Pará (TJPA)";"139.138,04";
"07.344.844/0001-07";"silva e saldanha ltda";"PA";"Multa - Lei 12.846/13";"26/02/2018";"Sem informação";"Tribunal de Justiça do Estado do Pará (TJPA)";"87.468,22";
"24.865.859/0001-21";"so montes drogaria ltda";"GO";"Suspensão/Interdição das atividades - Lei 12.846/13";"17/09/2019";"16/09/2020";"Ministério Público da União (MPU)";"0,00";
"10.713.005/0001-15";"soul clean comercio e servicos ltda";"ES";"Multa - Lei 12.846/13";"28/11/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"25.000,00";
"01.727.849/0001-24";"spaco moveis corporativos ltda-me";"ES";"Multa - Lei 12.846/13";"07/12/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"5.596,61";
"68.062.363/0001-95";"starcom comercio e reparacao e manutencao de modulos e equipamentos perifericos ltda";"SP";"Multa - Lei 12.846/13";"19/09/2019";"Sem informação";"BANCO DO BRASIL S.A.";"58.160,82";
"86.778.966/0001-70";"start-engenharia de comissionamento e manutencao ltda";"BA";"Publicação Extraordinária - Lei 12.846/13";"14/08/2019";"Sem informação";"Petróleo Brasileiro S.A.";"0,00";
"86.778.966/0001-70";"start-engenharia de comissionamento e manutencao ltda";"BA";"Multa - Lei 12.846/13";"14/08/2019";"Sem informação";"Petróleo Brasileiro S.A.";"12.281,37";
"10.699.386/0001-25";"tec light industria e comercio de reatores eireli";"ES";"Multa - Lei 12.846/13";"22/11/2019";"Sem informação";"Prefeitura Municipal de Colatina (ES)";"1,00";
"19.026.321/0001-93";"techway instalacoes e manutencao predial eireli";"SP";"Multa - Lei 12.846/13";"15/08/2019";"15/08/2020";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"261.875,66";
"19.026.321/0001-93";"techway instalacoes e manutencao predial eireli";"SP";"Publicação Extraordinária - Lei 12.846/13";"15/08/2019";"15/08/2020";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"0,00";
"04.741.904/0001-29";"tecnica tecnologia e servicos ltda-epp";"ES";"Multa - Lei 12.846/13";"04/04/2017";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"14.421,42";
"29.167.442/0003-70";"terrapleno terraplenagem e construcao ltda";"RJ";"Multa - Lei 12.846/13";"06/06/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"108.826,24";
"00.100.408/0001-35";"tfi do brasil comercial e importadora ltda";"RJ";"Multa - Lei 12.846/13";"15/05/2020";"Sem informação";"Petróleo Brasileiro S.A.";"70.295,79";
"00.100.408/0001-35";"tfi do brasil comercial e importadora ltda";"RJ";"Publicação Extraordinária - Lei 12.846/13";"15/05/2020";"Sem informação";"Petróleo Brasileiro S.A.";"0,00";
"11.491.547/0001-53";"thn fabricacao de auto pecas brasil s.a.";"SP";"Multa - Lei 12.846/13";"08/10/2018";"Sem informação";"Receita Federal do Brasil";"552.000,00";
"21.891.781/0001-21";"tribao comercio e servicos eirelli me";"RJ";"Multa - Lei 12.846/13";"15/04/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"729,39";
"21.891.781/0001-21";"tribao comercio e servicos eirelli-me";"RJ";"Multa - Lei 12.846/13";"18/07/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"400,00";
"21.891.781/0001-21";"tribao comercio e servicos eirelli-me";"RJ";"Multa - Lei 12.846/13";"17/04/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"653,13";
"39.299.359/0001-47";"unir negocios e servicos ltda";"ES";"Multa - Lei 12.846/13";"30/07/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"238.908,87";
"14.292.067/0001-51";"urgon construtora ltda-epp";"ES";"Multa - Lei 12.846/13";"12/03/2019";"Sem informação";"Prefeitura Municipal de Cariacica (ES)";"29.552,33";
"14.292.067/0001-51";"urgon construtora ltda-epp";"ES";"Publicação Extraordinária - Lei 12.846/13";"12/03/2019";"Sem informação";"Prefeitura Municipal de Cariacica (ES)";"0,00";
"54.257.126/0001-75";"v w estruturas metalicas e eventos ltda me";"SP";"Proibição - Lei 12.846/13";"23/10/2019";"23/10/2024";"MUNICIPIO DE PONTAL";"0,00";
"15.707.659/0001-50";"ventana manutencao e servicos ltda. - epp";"PR";"Multa - Lei 12.846/13";"15/08/2016";"Sem informação";"Empresa Brasileira de Infra-Estrutura Aeroportuária - INFRAERO";"906.657,95";
"09.625.853/0001-93";"virtus administradora de servicos - eireli - me";"PE";"Multa - Lei 12.846/13";"01/09/2017";"Sem informação";"Universidade Federal Rual de Pernambuco";"911.238,91";
"17.363.537/0001-19";"vitedno servicos de cobrancas ltda";"SP";"Multa - Lei 12.846/13";"18/02/2020";"Sem informação";"BANCO DO BRASIL S.A.";"6.000,00";
"***.032.798-**";"vivaldo dias da silva";"SP";"Multa - Lei 12.846/13";"19/08/2016";"Sem informação";"Secretaria Municipal de Justiça - Prefeitura de São Paulo (SP)";"651.712,62";
"13.213.454/0001-92";"w a s consultoria agropecuaria eireli - me";"GO";"Multa - Lei 12.846/13";"17/10/2018";"Sem informação";"BANCO DO BRASIL S.A.";"102.277,23";
"13.213.454/0001-92";"w a s consultoria agropecuaria eireli - me";"GO";"Publicação Extraordinária - Lei 12.846/13";"17/10/2018";"Sem informação";"BANCO DO BRASIL S.A.";"0,00";
"18.165.087/0001-12";"willian de andrade bullerjanh-me";"ES";"Multa - Lei 12.846/13";"27/01/2016";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"6.000,00";
"21.345.805/0001-47";"wm construtora ltda - me";"PB";"Multa - Lei 12.846/13";"17/10/2018";"Sem informação";"BANCO DO BRASIL S.A.";"79.250,00";
"21.345.805/0001-47";"wm construtora ltda - me";"PB";"Publicação Extraordinária - Lei 12.846/13";"17/10/2018";"Sem informação";"BANCO DO BRASIL S.A.";"0,00";
"14.381.980/0001-24";"zad comercio e servicos ltda";"ES";"Multa - Lei 12.846/13";"08/06/2017";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"22.192,15";
